id,name,world_rank,country
1754,University of Mississippi Medical Center,754,USA
1755,National Research Nuclear University MEPhI,755,Russia
1756,Chung-Ang University,756,South Korea
1757,Kaohsiung Medical University,757,Taiwan
1758,University of Neuchâtel,758,Switzerland
1759,University of Yamanashi,759,Japan
1760,Yamagata University,760,Japan
1761,New Jersey Institute of Technology,761,USA
1762,East Carolina University,762,USA
1763,University of Hyogo,763,Japan
1764,University of Picardie Jules Verne,764,France
1765,University of Salento,765,Italy
1766,Northern Arizona University,766,USA
1767,Miguel Hernández University of Elche,767,Spain
1768,University of Tehran,768,Iran
1769,Blaise Pascal University,769,France
1770,Yeungnam University,770,South Korea
1771,Kurume University,771,Japan
1772,Institut national des sciences Appliquées de Lyon,772,France
1773,Saga University,773,Japan
1774,Chongqing University,774,China
1775,Jikei University School of Medicine,775,Japan
1776,Second Military Medical University,776,China
1777,Jawaharlal Nehru Centre for Advanced Scientific Research,777,India
1778,"University of North Texas, Denton",778,USA
1779,Ege University,779,Turkey
1780,Mie University,780,Japan
1781,École Polytechnique de Montréal,781,Canada
1782,AGH University of Science and Technology,782,Poland
1783,University of Electronic Science and Technology of China,783,China
1784,University of Stirling,784,United Kingdom
1785,University of Greifswald,785,Germany
1786,National Polytechnic Institute,786,Mexico
1787,Jacobs University Bremen,787,Germany
1788,Capital Medical University,788,China
1789,Norwegian University of Life Sciences,789,Norway
1790,Michigan Technological University,790,USA
1791,Vilnius University,791,Lithuania
1792,North Dakota State University - Main Campus,792,USA
1793,University of Hohenheim,793,Germany
1794,University of North Carolina at Charlotte,794,USA
1795,Zhengzhou University,795,China
1796,Cairo University,796,Egypt
1797,University of Caen Lower Normandy,797,France
1798,Saitama Medical University,798,Japan
1799,University of Murcia,799,Spain
1800,Showa University,800,Japan
1801,University of Oldenburg,801,Germany
1802,Magna Græcia University of Catanzaro,802,Italy
1803,National Sun Yat-sen University,803,Taiwan
1804,Nanjing University of Science and Technology,804,China
1805,University of Concepción,805,Chile
1806,Chungbuk National University,806,South Korea
1807,Taipei Medical University,807,Taiwan
1808,Jaume I University,808,Spain
1809,Bowling Green State University,809,USA
1810,Nanjing University of Technology,810,China
1811,University of New England (Australia),811,Australia
1812,Kangwon National University,812,South Korea
1813,Inje University,813,South Korea
1814,Aberystwyth University,814,United Kingdom
1815,"University of Technology, Sydney",815,Australia
1816,University of Franche-Comté,816,France
1817,University of Sassari,817,Italy
1818,Chiang Mai University,818,Thailand
1819,Budapest University of Technology and Economics,819,Hungary
1820,University of Maribor,820,Slovenia
1821,University of Bradford,821,United Kingdom
1822,University of Perpignan Via Domitia,822,France
1823,Florida Institute of Technology,823,USA
1824,University of Brighton,824,United Kingdom
1825,University of Massachusetts Boston,825,USA
1826,Rio de Janeiro State University,826,Brazil
1827,Nagoya Institute of Technology,827,Japan
1828,Jiangnan University,828,China
1829,Murdoch University,829,Australia
1830,"University of Wales, Trinity Saint David",830,United Kingdom
1831,University of Rouen,831,France
1832,The Catholic University of America,832,USA
1833,Wright State University - Dayton,833,USA
1834,Dankook University,834,South Korea
1835,Clarkson University,835,USA
1836,University of Regina,836,Canada
1837,Boğaziçi University,837,Turkey
1838,Kōchi University,838,Japan
1839,University of Miyazaki,839,Japan
1840,University of Electro-Communications,840,Japan
1841,University of Valladolid,841,Spain
1842,Bilkent University,842,Turkey
1843,Dublin City University,843,Ireland
1844,University of South Alabama,844,USA
1845,Sofia University,845,Bulgaria
1846,Ocean University of China,846,China
1847,King Fahd University of Petroleum and Minerals,847,Saudi Arabia
1848,University of Veterinary Medicine Vienna,848,Austria
1849,University of Alcalá,849,Spain
1850,Hunter College,850,USA
1851,"All India Institute of Medical Sciences, New Delhi",851,India
1852,Gazi University,852,Turkey
1853,"National University of Ireland, Maynooth",853,Ireland
1854,Tehran University of Medical Sciences,854,Iran
1855,University of the Ryukyus,855,Japan
1856,Florida Atlantic University,856,USA
1857,University of Siegen,857,Germany
1858,Huazhong Agricultural University,858,China
1859,University of Angers,859,France
1860,University of Seoul,860,South Korea
1861,Brock University,861,Canada
1862,Fukuoka University,862,Japan
1863,Hamamatsu University School of Medicine,863,Japan
1864,Nanjing Normal University,864,China
1865,National Chung Cheng University,865,Taiwan
1866,Nanjing Agricultural University,866,China
1867,University of the Republic (Uruguay),867,Uruguay
1868,Sejong University,868,South Korea
1869,Makerere University,869,Uganda
1870,University of New Brunswick,870,Canada
1871,Northeastern University (China),871,China
1872,University of Extremadura,872,Spain
1873,RMIT University,873,Australia
1874,"Royal Veterinary College, University of London",874,United Kingdom
1875,Chung Yuan Christian University,875,Taiwan
1876,University of Osnabrück,876,Germany
1877,Northwest University (China),877,China
1878,Chosun University,878,South Korea
1879,University of Orléans,879,France
1880,Jean Monnet University,880,France
1881,École centrale de Lyon,881,France
1882,University of Western Sydney,882,Australia
1883,Hefei University of Technology,883,China
1884,University of Massachusetts Lowell,884,USA
1885,Manchester Metropolitan University,885,United Kingdom
1886,Nanjing Medical University,886,China
1887,Kyoto Institute of Technology,887,Japan
1888,Shanghai Normal University,888,China
1889,Southwest University,889,China
1890,Adam Mickiewicz University in Poznań,890,Poland
1891,University of Calcutta,891,India
1892,University of Pécs,892,Hungary
1893,"Queens College, City University of New York",893,USA
1894,University of Lleida,894,Spain
1895,Nanjing University of Aeronautics and Astronautics,895,China
1896,University of Western Brittany,896,France
1897,University of North Carolina at Greensboro,897,USA
1898,Pukyong National University,898,South Korea
1899,Fourth Military Medical University,899,China
1900,University of Fukui,900,Japan
1901,University of Southern Mississippi,901,USA
1902,University of Mannheim,902,Germany
1903,Shimane University,903,Japan
1904,China University of Geosciences (Wuhan),904,China
1905,University of Thessaly,905,Greece
1906,Oakland University,906,USA
1907,Wilfrid Laurier University,907,Canada
1908,Teikyo University,908,Japan
1909,Saitama University,909,Japan
1910,Trent University,910,Canada
1911,Nicolaus Copernicus University in Toruń,911,Poland
1912,Tarbiat Modares University,912,Iran
1913,University of North Dakota,913,USA
1914,Isfahan University of Technology,914,Iran
1915,Fluminense Federal University,915,Brazil
1916,National Taiwan University of Science and Technology,916,Taiwan
1917,University of Lethbridge,917,Canada
1918,Federal University of Santa Catarina,918,Brazil
1919,University of Camerino,919,Italy
1920,University of Brasília,920,Brazil
1921,University of Wrocław,921,Poland
1922,University of Basilicata,922,Italy
1923,Jadavpur University,923,India
1924,South China Normal University,924,China
1925,University of Hyderabad,925,India
1926,Ritsumeikan University,926,Japan
1927,Carlos III University of Madrid,927,Spain
1928,University of Cyprus,928,Cyprus
1929,University of Texas at El Paso,929,USA
1930,University of Cádiz,930,Spain
1931,Shahid Beheshti University of Medical Sciences,931,Iran
1932,National Taiwan Normal University,932,Taiwan
1933,National University of Córdoba,933,Argentina
1934,Federal University of Paraná,934,Brazil
1935,University of Jaén,935,Spain
1936,"University of California, Merced",936,USA
1937,University of Waikato,937,New Zealand
1938,University of Central Lancashire,938,United Kingdom
1939,Federal University of Pernambuco,939,Brazil
1940,University of Almería,940,Spain
1941,Federal University of São Carlos,941,Brazil
1942,Charles Darwin University,942,Australia
1943,Yangzhou University,943,China
1944,Wrocław University of Technology,944,Poland
1945,Hirosaki University,945,Japan
1946,National Taiwan Ocean University,946,Taiwan
1947,Jiangsu University,947,China
1948,Northwestern Polytechnical University,948,China
1949,Xiangtan University,949,China
1950,United Arab Emirates University,950,United Arab Emirates
1951,Gachon University,951,South Korea
1952,Hallym University,952,South Korea
1953,Harbin Engineering University,953,China
1954,Dokuz Eylül University,954,Turkey
1955,Jinan University,955,China
1956,Shiraz University,956,Iran
1957,Third Military Medical University,957,China
1958,Amirkabir University of Technology,958,Iran
1959,Public University of Navarre,959,Spain
1960,Federico Santa María Technical University,960,Chile
1961,Federal University of ABC,961,Brazil
1962,University of Puerto Rico at Mayagüez,962,Puerto Rico
1963,Southern Medical University,963,China
1964,University of Silesia,964,Poland
1965,Ain Shams University,965,Egypt
1966,University of Valenciennes and Hainaut-Cambresis,966,France
1967,Chung Shan Medical University,967,Taiwan
1968,National University of Colombia,968,Colombia
1969,South China Agricultural University,969,China
1970,Ibaraki University,970,Japan
1971,Fu Jen Catholic University,971,Taiwan
1972,Hunan Normal University,972,China
1973,Ulsan National Institute of Science and Technology,973,South Korea
1974,Federal University of Santa Maria,974,Brazil
1975,Shenzhen University,975,China
1976,Tianjin Medical University,976,China
1977,Beijing University of Technology,977,China
1978,University of Reims Champagne-Ardenne,978,France
1979,Yuan Ze University,979,Taiwan
1980,"University of Chemistry and Technology, Prague",980,Czech Republic
1981,University of Limerick,981,Ireland
1982,China Medical University (PRC),982,China
1983,Feng Chia University,983,Taiwan
1984,Zhejiang University of Technology,984,China
1985,Novosibirsk State University,985,Russia
1986,University of Bucharest,986,Romania
1987,Babeș-Bolyai University,987,Romania
1988,Mansoura University,988,Egypt
1989,University of Pau and Pays de l'Adour,989,France
1990,Henan Normal University,990,China
1991,Xidian University,991,China
1992,Federal University of Bahia,992,Brazil
1993,Southwest Jiaotong University,993,China
1994,Ryerson University,994,Canada
1995,King Abdulaziz University,995,Saudi Arabia
1996,University of the Algarve,996,Portugal
1997,Alexandria University,997,Egypt
1998,Federal University of Ceará,998,Brazil
1999,University of A Coruña,999,Spain
2000,China Pharmaceutical University,1000,China
