id,name,world_rank,country
1152,University of Birmingham,152,United Kingdom
1153,Humboldt University of Berlin,153,Germany
1154,"University of California, Santa Cruz",154,USA
1155,Albert Ludwig University of Freiburg,155,Germany
1156,University of Tübingen,156,Germany
1157,University of Cincinnati,157,USA
1158,University of Bonn,158,Germany
1159,Wake Forest University,159,USA
1160,University of Basel,160,Switzerland
1161,University of Leeds,161,United Kingdom
1162,University of Hamburg,162,Germany
1163,Université libre de Bruxelles,163,Belgium
1164,Indiana University-Purdue University Indianapolis,164,USA
1165,Pohang University of Science and Technology,165,South Korea
1166,Oregon Health & Science University,166,USA
1167,University of Calgary,167,Canada
1168,Stockholm University,168,Sweden
1169,University of Padua,169,Italy
1170,University of Hong Kong,170,Hong Kong
1171,Yeshiva University,171,USA
1172,University of Milan,172,Italy
1173,University of Sheffield,173,United Kingdom
1174,Technical University of Denmark,174,Denmark
1175,"University of Maryland, Baltimore",175,USA
1176,Goethe University Frankfurt,176,Germany
1177,University of Göttingen,177,Germany
1178,Hokkaido University,178,Japan
1179,Australian National University,179,Australia
1180,Shanghai Jiao Tong University,180,China
1181,University of New Mexico,181,USA
1182,University of Strasbourg,182,France
1183,University of Massachusetts Medical School,183,USA
1184,University of Houston,184,USA
1185,"Trinity College, Dublin",185,Ireland
1186,University of Lausanne,186,Switzerland
1187,Iowa State University,187,USA
1188,Joseph Fourier University,188,France
1189,Wayne State University,189,USA
1190,University of South Florida - Tampa,190,USA
1191,Zhejiang University,191,China
1192,Hanyang University,192,South Korea
1193,University of Ottawa,193,Canada
1194,University of Missouri–Columbia,194,USA
1195,Fudan University,195,China
1196,University of Kansas,196,USA
1197,University of Cologne,197,Germany
1198,University of Georgia,198,USA
1199,University of Liverpool,199,United Kingdom
1200,University of Bern,200,Switzerland
1201,Cardiff University,201,United Kingdom
1202,George Washington University,202,USA
1203,University of Illinois at Chicago,203,USA
1204,University of Erlangen-Nuremberg,204,Germany
1205,University of Münster,205,Germany
1206,Aix-Marseille University,206,France
1207,Claude Bernard University Lyon 1,207,France
1208,University of Bologna,208,Italy
1209,Queen Mary University of London,209,United Kingdom
1210,Dresden University of Technology,210,Germany
1211,Sungkyunkwan University,211,South Korea
1212,Newcastle University,212,United Kingdom
1213,Karlsruhe Institute of Technology,213,Germany
1214,"University of California, Riverside",214,USA
1215,University of Kiel,215,Germany
1216,University of Western Australia,216,Australia
1217,Paris Descartes University,217,France
1218,University of Connecticut,218,USA
1219,University of Massachusetts Amherst,219,USA
1220,Chinese University of Hong Kong,220,Hong Kong
1221,University of Turin,221,Italy
1222,University of Manitoba,222,Canada
1223,University of Vienna,223,Austria
1224,University of Montpellier,224,France
1225,Maastricht University,225,Netherlands
1226,National Cheng Kung University,226,Taiwan
1227,"University of Tennessee, Knoxville",227,USA
1228,Complutense University of Madrid,228,Spain
1229,Laval University,229,Canada
1230,RWTH Aachen University,230,Germany
1231,Université catholique de Louvain,231,Belgium
1232,North Carolina State University,232,USA
1233,Johannes Gutenberg University of Mainz,233,Germany
1234,University of Texas Health Science Center at San Antonio,234,USA
1235,Julius-Maximilian's University of Würzburg,235,Germany
1236,Paul Sabatier University - Toulouse III,236,France
1237,University of Gothenburg,237,Sweden
1238,University College Dublin,238,Ireland
1239,University of Science and Technology of China,239,China
1240,University of Leicester,240,United Kingdom
1241,Autonomous University of Barcelona,241,Spain
1242,University of Dundee,242,United Kingdom
1243,Norwegian University of Science and Technology,243,Norway
1244,Nanjing University,244,China
1245,Okayama University,245,Japan
1246,London School of Hygiene & Tropical Medicine,246,United Kingdom
1247,University of Florence,247,Italy
1248,University of Cape Town,248,South Africa
1249,University of Texas Health Science Center at Houston,249,USA
1250,Moscow Institute of Physics and Technology,250,Russia
1251,University of Düsseldorf,251,Germany
1252,Florida State University,252,USA
1253,University of Sussex,253,United Kingdom
1254,Thomas Jefferson University,254,USA
1255,Delft University of Technology,255,Netherlands
1256,Virginia Polytechnic Institute and State University,256,USA
1257,University of Lisbon,257,Portugal
1258,Drexel University,258,USA
1259,Virginia Commonwealth University,259,USA
1260,Oregon State University,260,USA
1261,Durham University,261,United Kingdom
1262,University of Tsukuba,262,Japan
1263,University of Reading,263,United Kingdom
1264,Lehigh University,264,USA
1265,Medical University of Vienna,265,Austria
1266,University of Auckland,266,New Zealand
1267,University of Kentucky,267,USA
1268,University of Naples Federico II,268,Italy
1269,University of Waterloo,269,Canada
1270,Charles University in Prague,270,Czech Republic
1271,Colorado State University - Fort Collins,271,USA
1272,Tulane University,272,USA
1273,"University at Buffalo, The State University of New York",273,USA
1274,Brandeis University,274,USA
1275,Northeastern University,275,USA
1276,Wageningen University and Research Centre,276,Netherlands
1277,Sun Yat-sen University,277,China
1278,University of Ulm,278,Germany
1279,London School of Economics,279,United Kingdom
1280,Vrije Universiteit Brussel,280,Belgium
1281,University of Delaware,281,USA
1282,Rensselaer Polytechnic Institute,282,USA
1283,University of Bergen,283,Norway
1284,Queen's University,284,Canada
1285,University of Aberdeen,285,United Kingdom
1286,Dalhousie University,286,Canada
1287,Umeå University,287,Sweden
1288,University of Duisburg-Essen,288,Germany
1289,City College of New York,289,USA
1290,Hiroshima University,290,Japan
1291,University of Texas at San Antonio,291,USA
1292,Hannover Medical School,292,Germany
1293,University of Warwick,293,United Kingdom
1294,University of Valencia,294,Spain
1295,University of Pisa,295,Italy
1296,Ruhr University Bochum,296,Germany
1297,Medical College of Wisconsin,297,USA
1298,University of Louisville,298,USA
1299,University of Bordeaux,299,France
